trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",30,0,-85.1471434423604,"{0: 20, 1: 5, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.98}",20,0,-104.61718031141183,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.97}",30,3,-38.86771140670705,"{0: 19, 1: 4, 2: 4, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.96}",20,0,-126.41391903227303,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.95}",25,0,-158.39116235032375,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.94}",25,0,-62.06414547039434,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,0,-38.39001757544566,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9199999999999999}",30,0,-168.9544884111817,"{0: 21, 1: 2, 2: 2, 3: 2, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.9099999999999999}",25,0,-93.92560726749308,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-66.59485773363272,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.8899999999999999}",20,1,-88.25683302310911,"{0: 11, 1: 1, 2: 4, 3: 3, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.8799999999999999}",30,0,-130.53699197768526,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.8699999999999999}",20,8,-93.8003234325761,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.8599999999999999}",30,0,-183.9949531069737,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-99.63268639565192,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8399999999999999}",25,0,-71.55167601840178,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8299999999999998}",25,0,-61.77809630217256,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8199999999999998}",35,0,-102.39966128746748,"{0: 25, 1: 4, 2: 3, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8099999999999998}",25,0,-166.49450594665527,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,14,-20.634477695239553,"{0: 4, 1: 0, 2: 1, 3: 1, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.7899999999999998}",20,6,-61.37036820004059,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
22,False,"{'a': 0.5, 'e': 0.7799999999999998}",30,0,-177.94441526457265,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
23,False,"{'a': 0.5, 'e': 0.7699999999999998}",30,0,-124.86523598595132,"{0: 21, 1: 2, 2: 3, 3: 2, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.7599999999999998}",25,0,-94.35458658781866,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,1,-90.93182016706176,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 1}",1
26,False,"{'a': 0.5, 'e': 0.7399999999999998}",30,0,-271.7116881947802,"{0: 15, 1: 1, 2: 8, 3: 2, 4: 4}",0
27,False,"{'a': 0.5, 'e': 0.7299999999999998}",25,0,-85.12101103215787,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.7199999999999998}",20,0,-105.4711834129706,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.7099999999999997}",20,3,-37.152974614853704,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,8,-97.53349120684288,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 2}",1
31,False,"{'a': 0.5, 'e': 0.6899999999999997}",30,4,-50.04411566501322,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 1}",1
32,False,"{'a': 0.5, 'e': 0.6799999999999997}",25,7,-58.366022645690244,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 1}",1
33,False,"{'a': 0.5, 'e': 0.6699999999999997}",25,0,-78.58924557165665,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.6599999999999997}",30,16,-15.706691693952457,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-128.86008706096584,"{0: 15, 1: 3, 2: 3, 3: 3, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.6399999999999997}",25,0,-45.19044645512314,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.6299999999999997}",20,0,-66.5754529817196,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.6199999999999997}",25,14,0.6110213668133113,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
39,False,"{'a': 0.5, 'e': 0.6099999999999997}",25,0,-72.08939351645265,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,20,-15.336780630378733,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.5899999999999996}",20,7,-100.68022566943155,"{0: 7, 1: 1, 2: 1, 3: 3, 4: 1}",1
42,False,"{'a': 0.5, 'e': 0.5799999999999996}",25,0,-39.77874517462108,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.5699999999999996}",20,0,-1.9503583310694204,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.5599999999999996}",20,0,-49.80730479968243,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-146.8645013950435,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
46,False,"{'a': 0.5, 'e': 0.5399999999999996}",25,0,-13.624828639889447,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.5299999999999996}",30,22,12.622796058126733,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.5199999999999996}",25,0,-50.39295096661529,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.5099999999999996}",25,2,-88.11592484750156,"{0: 17, 1: 0, 2: 3, 3: 2, 4: 1}",1
50,False,"{'a': 0.5, 'e': 0.49999999999999956}",25,16,-3.6734121466174945,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.48999999999999955}",25,18,-30.231134901340624,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
52,False,"{'a': 0.5, 'e': 0.47999999999999954}",20,1,10.950856424017172,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.46999999999999953}",25,0,8.273107784477782,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.4599999999999995}",25,13,-16.088386305933035,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.4499999999999995}",20,16,8.660792579532302,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.4399999999999995}",25,0,-44.03594835072235,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.4299999999999995}",25,0,3.9734569084940397,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.4199999999999995}",25,5,-10.015016652652635,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.4099999999999995}",30,20,18.5961093250297,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.39999999999999947}",25,9,-34.78127487055333,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
61,False,"{'a': 0.5, 'e': 0.38999999999999946}",25,3,-6.535651092639839,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.37999999999999945}",20,11,14.226894091978608,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.36999999999999944}",25,0,-79.41827445081944,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.35999999999999943}",20,0,15.82786672352175,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.3499999999999994}",20,9,17.131452718993977,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.3399999999999994}",35,14,24.81875723676081,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.3299999999999994}",30,21,-4.351695067502866,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.3199999999999994}",20,0,22.877316745685853,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.3099999999999994}",30,22,15.45287401401686,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.2999999999999994}",30,0,-7.385328868459682,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",1
71,False,"{'a': 0.5, 'e': 0.28999999999999937}",20,10,-49.78708146559917,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
72,False,"{'a': 0.5, 'e': 0.27999999999999936}",20,15,1.8576753030437296,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.26999999999999935}",30,0,1.769192215461718,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.25999999999999934}",30,0,-105.41875254551918,"{0: 24, 1: 2, 2: 1, 3: 0, 4: 3}",0
75,False,"{'a': 0.5, 'e': 0.24999999999999933}",30,7,-37.30994527159455,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 1}",1
76,False,"{'a': 0.5, 'e': 0.23999999999999932}",20,1,-15.904630826181037,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.22999999999999932}",20,16,7.553103944590493,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.2199999999999993}",30,19,9.23128412348049,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.2099999999999993}",20,16,9.675352979210981,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.1999999999999993}",30,13,14.122531975543225,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.18999999999999928}",25,10,-104.22052839181357,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 3}",1
82,False,"{'a': 0.5, 'e': 0.17999999999999927}",30,18,23.67347419438946,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.16999999999999926}",20,15,9.101953508456623,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.15999999999999925}",25,11,27.518732035231682,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.14999999999999925}",25,14,18.797228888591963,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.13999999999999924}",25,6,8.126225829139766,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.12999999999999923}",20,13,13.002260511582698,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.11999999999999923}",35,19,24.303949485578144,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.10999999999999924}",25,1,40.28251277197956,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.09999999999999924}",25,17,14.392085359050135,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.08999999999999925}",20,6,23.43040577065704,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.07999999999999925}",30,6,31.572158569095606,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.06999999999999926}",20,16,7.681063779578317,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.059999999999999255}",25,20,8.601899955160308,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.04999999999999925}",20,12,14.977148163365602,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,4,24.294527041761587,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,16,5.281708316634299,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,15,17.363334725009203,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,8,19.956698294277647,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,13,24.24845722200441,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,7,23.51642892726417,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,16,30.01737655012899,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",35,22,25.26718687395625,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,13,13.196108862411736,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
