trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999}",20,0,-59.36161073412023,"{0: 11, 1: 8, 2: 0, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.998}",30,0,-194.3769474724475,"{0: 16, 1: 2, 2: 8, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.997}",20,0,-191.43185604763772,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.996}",20,0,-112.24760252725598,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.995}",20,0,-107.09249778480185,"{0: 9, 1: 3, 2: 6, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.994}",25,0,-160.3120841328893,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.993}",20,0,-188.17824913980678,"{0: 8, 1: 5, 2: 3, 3: 1, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.992}",25,0,-163.21868571414996,"{0: 17, 1: 1, 2: 2, 3: 2, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.991}",20,14,-8.150416501949753,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.99}",25,0,-39.742256125066746,"{0: 19, 1: 4, 2: 0, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.989}",25,0,-152.31358160102474,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.988}",20,0,-270.9710406854351,"{0: 8, 1: 2, 2: 3, 3: 2, 4: 5}",0
13,False,"{'a': 0.5, 'e': 0.987}",30,0,-194.99941693306758,"{0: 17, 1: 4, 2: 5, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.986}",20,6,-68.21387522572537,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.985}",20,0,-83.33014059909377,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.984}",25,0,-50.87741553653911,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.983}",25,0,-293.4632555209853,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 6}",0
18,False,"{'a': 0.5, 'e': 0.982}",20,0,-82.54739810892862,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.981}",20,0,-162.97968723066487,"{0: 8, 1: 4, 2: 5, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.98}",20,0,-90.87936365835512,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.979}",20,0,-72.39878921129959,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.978}",30,0,-188.07004112424755,"{0: 16, 1: 2, 2: 8, 3: 2, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.977}",25,0,-115.12710587360112,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.976}",25,0,-240.2179631176845,"{0: 12, 1: 2, 2: 5, 3: 2, 4: 4}",0
25,False,"{'a': 0.5, 'e': 0.975}",20,0,-132.53338438640878,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.974}",20,0,-82.91410614360237,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.973}",20,11,-19.632356825467983,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.972}",30,0,-58.494280723398774,"{0: 21, 1: 1, 2: 8, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.971}",20,0,-67.6488784470652,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.97}",20,0,-160.86504810727118,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
31,False,"{'a': 0.5, 'e': 0.969}",35,0,-266.180933548779,"{0: 18, 1: 4, 2: 7, 3: 2, 4: 4}",0
32,False,"{'a': 0.5, 'e': 0.968}",25,0,-157.58310358372015,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.967}",30,0,-135.6062349372384,"{0: 16, 1: 2, 2: 10, 3: 2, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.966}",30,0,-206.7964129357896,"{0: 14, 1: 2, 2: 11, 3: 1, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.965}",25,0,-61.67577065613195,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.964}",20,0,-123.32150118521953,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
37,False,"{'a': 0.5, 'e': 0.963}",25,0,-162.16394647648988,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
38,False,"{'a': 0.5, 'e': 0.962}",25,5,-88.57449959111364,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",1
39,False,"{'a': 0.5, 'e': 0.961}",20,0,-44.20642582341007,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.96}",25,0,-144.42032564247143,"{0: 17, 1: 3, 2: 1, 3: 1, 4: 3}",0
41,False,"{'a': 0.5, 'e': 0.959}",30,0,-176.24152864752662,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
42,False,"{'a': 0.5, 'e': 0.958}",20,0,-91.71415694390551,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.957}",25,0,-285.18875376594275,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 6}",0
44,False,"{'a': 0.5, 'e': 0.956}",25,0,-159.0758810722331,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
45,False,"{'a': 0.5, 'e': 0.955}",20,0,-89.70009230513003,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.954}",20,6,-28.93852165889353,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.953}",20,0,-106.60908594377037,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
48,False,"{'a': 0.5, 'e': 0.952}",25,11,9.921850482484956,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.951}",20,0,-166.34411868262094,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
50,False,"{'a': 0.5, 'e': 0.95}",30,0,-173.0691374734755,"{0: 15, 1: 7, 2: 5, 3: 1, 4: 2}",0
51,False,"{'a': 0.5, 'e': 0.949}",25,0,-212.93499390390943,"{0: 11, 1: 2, 2: 8, 3: 1, 4: 3}",0
52,False,"{'a': 0.5, 'e': 0.948}",25,0,-49.09467611876818,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.947}",20,0,-53.6022763253961,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
54,False,"{'a': 0.5, 'e': 0.946}",30,0,-102.65392635041184,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.945}",20,0,-95.14587021071407,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
56,False,"{'a': 0.5, 'e': 0.944}",25,0,-241.0817120034364,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 5}",0
57,False,"{'a': 0.5, 'e': 0.943}",25,2,-136.1747815344449,"{0: 14, 1: 0, 2: 7, 3: 0, 4: 2}",1
58,False,"{'a': 0.5, 'e': 0.942}",30,0,-126.92777156820202,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
59,False,"{'a': 0.5, 'e': 0.941}",25,0,-88.78066243507949,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.94}",20,0,-108.8467015806044,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
61,False,"{'a': 0.5, 'e': 0.939}",30,0,-156.3277094476252,"{0: 16, 1: 6, 2: 5, 3: 1, 4: 2}",0
62,False,"{'a': 0.5, 'e': 0.938}",25,0,-236.02492016389803,"{0: 12, 1: 2, 2: 6, 3: 1, 4: 4}",0
63,False,"{'a': 0.5, 'e': 0.9369999999999999}",20,0,-149.4662623579984,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
64,False,"{'a': 0.5, 'e': 0.9359999999999999}",35,0,-220.36532350585117,"{0: 19, 1: 7, 2: 3, 3: 3, 4: 3}",0
65,False,"{'a': 0.5, 'e': 0.9349999999999999}",25,0,-107.34989140566657,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.9339999999999999}",30,0,-70.25738238842848,"{0: 19, 1: 4, 2: 7, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.9329999999999999}",25,5,-34.779641950506296,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.9319999999999999}",20,0,-11.031272404945671,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.9309999999999999}",30,0,-77.90632763389769,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.9299999999999999}",25,0,-173.4432272037202,"{0: 16, 1: 1, 2: 3, 3: 2, 4: 3}",0
71,False,"{'a': 0.5, 'e': 0.9289999999999999}",30,0,-223.89181762465188,"{0: 14, 1: 4, 2: 8, 3: 1, 4: 3}",0
72,False,"{'a': 0.5, 'e': 0.9279999999999999}",25,3,-35.83701671733429,"{0: 17, 1: 4, 2: 0, 3: 0, 4: 1}",1
73,False,"{'a': 0.5, 'e': 0.9269999999999999}",30,0,-133.96907365404812,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
74,False,"{'a': 0.5, 'e': 0.9259999999999999}",20,0,-124.66792448622382,"{0: 11, 1: 5, 2: 1, 3: 1, 4: 2}",0
75,False,"{'a': 0.5, 'e': 0.9249999999999999}",25,0,-187.60025133933058,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
76,False,"{'a': 0.5, 'e': 0.9239999999999999}",35,0,-150.45648517419465,"{0: 23, 1: 5, 2: 3, 3: 2, 4: 2}",0
77,False,"{'a': 0.5, 'e': 0.9229999999999999}",20,0,-69.65291729058555,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.9219999999999999}",25,0,-153.34563202255887,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
79,False,"{'a': 0.5, 'e': 0.9209999999999999}",35,0,-120.8912814474956,"{0: 22, 1: 3, 2: 7, 3: 3, 4: 0}",0
