trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-96.9801556075893,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,14,-26.440190072656517,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-83.2124999388824,"{0: 13, 1: 5, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-226.69974675735332,"{0: 8, 1: 3, 2: 4, 3: 1, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-60.45504109877442,"{0: 13, 1: 3, 2: 2, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-129.62210008981913,"{0: 8, 1: 4, 2: 6, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",35,0,-136.78159986168788,"{0: 24, 1: 3, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-251.83447283576055,"{0: 10, 1: 3, 2: 7, 3: 1, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-186.0387627530268,"{0: 16, 1: 5, 2: 6, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-53.07702503213395,"{0: 10, 1: 7, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-39.230558800486634,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,12,-23.454093564990032,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-55.577307708301625,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-108.35655214122752,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-98.46360921805865,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-115.90231903080071,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,8,-51.0549081807453,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-164.91170237826935,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-69.32997614021403,"{0: 13, 1: 7, 2: 5, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-205.04221047573293,"{0: 13, 1: 3, 2: 11, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': -0.05000000000000032}",25,0,-145.758776748896,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': -0.10000000000000032}",25,0,-131.0764352772286,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': -0.15000000000000033}",20,0,-95.3231575742693,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': -0.20000000000000034}",25,1,-152.18517343694566,"{0: 15, 1: 3, 2: 2, 3: 1, 4: 3}",1
5,True,"{'a': 0.5, 'e': -0.25000000000000033}",20,0,-147.4316647934929,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 4}",0
6,True,"{'a': 0.5, 'e': -0.3000000000000003}",25,0,-69.38507410098207,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': -0.3500000000000003}",25,0,-115.11319167847067,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
8,True,"{'a': 0.5, 'e': -0.4000000000000003}",25,0,-40.45904004080221,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': -0.4500000000000003}",20,0,-175.72026259990136,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': -0.5000000000000003}",25,11,-63.88757244160699,"{0: 8, 1: 4, 2: 1, 3: 0, 4: 1}",1
